Pool name, Weekday, Start time, End time, Note
Balboa Pool,Saturday,9:00AM,10:30AM,Parent Child Swim on Steps
Balboa Pool,Saturday,12:30PM,2:00PM,Family Swim
Balboa Pool,Saturday,2:30PM,3:30PM,Family Swim
Balboa Pool,Saturday,4:00PM,5:00PM,Parent Child Swim on Steps
Balboa Pool,Tuesday,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa Pool,Tuesday,12:30PM,2:00PM,Parent Child Swim on Steps
Balboa Pool,Tuesday,2:30PM,4:00PM,Parent Child Swim on Steps
Balboa Pool,Wednesday,9:00AM,10:15AM,Parent Child Swim on Steps
Balboa Pool,Wednesday,12:30PM,3:00PM,Parent Child Swim on Steps
Balboa Pool,Wednesday,2:00PM,3:00PM,Family Swim
Balboa Pool,Thursday,7:00AM,8:00AM,Parent Child Swim on Steps
Balboa Pool,Thursday,2:30PM,4:00PM,Parent Child Swim on Steps
Balboa Pool,Thursday,6:00PM,7:00PM,Family Swim
Balboa Pool,Friday,1:30PM,3:00PM,Parent Child Swim on Steps
Garfield Pool,Sunday,12:30PM,2:00PM,Family Swim
Garfield Pool,Sunday,2:30PM,4:00PM,Family Swim
Garfield Pool,Monday,2:00PM,3:30PM,Family Swim
Garfield Pool,Wednesday,1:00PM,2:00PM,Family Swim
Garfield Pool,Thursday,2:30PM,3:30PM,Family Swim
Hamilton Pool,Saturday,9:00AM,10:30AM,Family Swim in Small Pool
Hamilton Pool,Saturday,1:30PM,3:30PM,Family Swim
Hamilton Pool,Saturday,4:00PM,5:00PM,Family Swim in Small Pool
Hamilton Pool,Tuesday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton Pool,Tuesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Tuesday,1:00PM,3:00PM,Family Swim in Small Pool
Hamilton Pool,Wednesday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton Pool,Wednesday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton Pool,Wednesday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Wednesday,1:00PM,2:45PM,Family Swim in Small Pool
Hamilton Pool,Wednesday,6:30PM,8:00PM,Family Swim in Small Pool
Hamilton Pool,Thursday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton Pool,Friday,6:30AM,8:30AM,Family Swim in Small Pool
Hamilton Pool,Friday,9:00AM,11:00AM,Family Swim in Small Pool
Hamilton Pool,Friday,11:00AM,12:30PM,Family Swim in Small Pool
Hamilton Pool,Friday,1:00PM,2:45PM,Family Swim in Small Pool
Hamilton Pool,Friday,6:30PM,8:00PM,Family Swim
Rossi Pool,Sunday,12:30PM,2:00PM,Family Swim
Rossi Pool,Sunday,2:30PM,3:30PM,Family Swim
Rossi Pool,Tuesday,10:15AM,11:15AM,Family Swim
Rossi Pool,Wednesday,2:00PM,3:30PM,Family Swim
Rossi Pool,Thursday,6:30PM,7:30PM,Family Swim
Sava Pool,Saturday,11:30AM,1:00PM,Family Swim
Sava Pool,Saturday,1:30PM,3:00PM,Family Swim
Sava Pool,Wednesday,2:30PM,3:30PM,Family Swim
Sava Pool,Thursday,2:30PM,3:30PM,Family Swim
Sava Pool,Friday,6:00PM,7:00PM,Family Swim
