Pool name, Weekday, Time period, Start time, End time, Note
North Beach,Tuesday,Afternoon,3:30PM,5:00PM,
Hamilton,Tuesday,Afternoon,1:30PM,3:00PM,
Rossi,Tuesday,Morning,10:15AM,11:15AM,
Mission,Tuesday,Afternoon,4:00PM,5:00PM,
Garfield,Tuesday,Afternoon,2:30PM,3:30PM,
Sava,Tuesday,Afternoon,3:30PM,5:00PM,
Balboa,Tuesday,Afternoon,2:30PM,3:30PM,
Balboa,Tuesday,Afternoon,2:30PM,3:30PM,
Coffman,Tuesday,Afternoon,2:00PM,4:00PM,
Hamilton,Wednesday,Afternoon,1:30PM,3:30PM,
Rossi,Wednesday,Afternoon,2:00PM,3:30PM,
Mission,Wednesday,Afternoon,2:30PM,3:45PM,
Garfield,Wednesday,Afternoon,2:30PM,3:30PM,
Sava,Wednesday,Afternoon,2:30PM,3:30PM,
Coffman,Wednesday,Afternoon,1:30PM,2:30PM,
Coffman,Wednesday,Evening,5:45PM,7:00PM,
North Beach,Thursday,Afternoon,2:15PM,3:15PM,
North Beach,Thursday,Afternoon,4:15PM,5:30PM,
Rossi,Thursday,Evening,6:30PM,7:30PM,
Mission,Thursday,Afternoon,3:00PM,5:00PM,
Garfield,Thursday,Afternoon,2:30PM,3:30PM,
Sava,Thursday,Afternoon,2:30PM,5:00PM,
Balboa,Thursday,Evening,5:45PM,7:00PM,
Balboa,Thursday,Afternoon,2:30PM,4:00PM,
Coffman,Thursday,Afternoon,1:00PM,3:00PM,
North Beach,Friday,Evening,5:30PM,7:00PM,
Hamilton,Friday,Afternoon,1:30PM,3:30PM,
Hamilton,Friday,Evening,6:30PM,8:00PM,
Rossi,Friday,Afternoon,2:00PM,3:30PM,
Mission,Friday,Afternoon,2:30PM,3:45PM,
Garfield,Friday,Afternoon,2:30PM,3:30PM,
Sava,Friday,Evening,5:30PM,7:00PM,
Coffman,Friday,Afternoon,2:00PM,3:00PM,
North Beach,Saturday,Afternoon,12:00PM,1:15PM,
North Beach,Saturday,Afternoon,1:45PM,3:00PM,
Hamilton,Saturday,Afternoon,1:30PM,3:30PM,
Rossi,Saturday,Afternoon,12:30PM,2:00PM,
Rossi,Saturday,Afternoon,2:30PM,3:30PM,
Mission,Saturday,Morning,10:45AM,12:00PM,
Mission,Saturday,Afternoon,1:30PM,3:00PM,
Garfield,Saturday,Morning,9:00AM,11:00AM,
Garfield,Saturday,Afternoon,12:15PM,1:15PM,
Sava,Saturday,Morning,11:30AM,1:00PM,
Sava,Saturday,Afternoon,11:30AM,1:00PM,
Sava,Saturday,Afternoon,1:30PM,3:00PM,
Balboa,Saturday,Afternoon,2:30PM,3:30PM,
Balboa,Saturday,Afternoon,12:30PM,2:00PM,
Balboa,Saturday,Afternoon,2:30PM,3:30PM,
Balboa,Saturday,Afternoon,12:30PM,2:00PM,
Coffman,Saturday,Afternoon,1:00PM,2:00PM,
Coffman,Saturday,Afternoon,2:15PM,3:45PM,
Mission,Tuesday,Morning,9:30AM,10:45AM,
Garfield,Tuesday,Afternoon,1:00PM,2:00PM,
North Beach,Wednesday,Morning,9:00AM,10:30AM,
Garfield,Wednesday,Afternoon,1:00PM,2:00PM,
Garfield,Wednesday,Morning,7:00AM,8:45AM,
Garfield,Wednesday,Afternoon,4:30PM,7:00PM,
Garfield,Wednesday,Evening,4:30PM,7:00PM,
Mission,Thursday,Morning,9:30AM,10:45AM,
North Beach,Friday,Morning,9:00AM,10:30AM,
Garfield,Friday,Morning,7:00AM,8:45AM,
Garfield,Friday,Morning,9:00AM,10:30AM,
Rossi,Saturday,Morning,9:30AM,11:00AM,
Garfield,Saturday,Morning,7:30AM,8:30AM,
Garfield,Saturday,Afternoon,2:30PM,3:30PM,
Balboa,Tuesday,Morning,7:00AM,8:00AM,secret family swim in small pool or steps during lap swim
Balboa,Tuesday,Afternoon,12:30PM,2:00PM,secret family swim in small pool or steps during lap swim
Balboa,Tuesday,Morning,7:00AM,8:00AM,secret family swim in small pool or steps during lap swim
Balboa,Tuesday,Afternoon,12:30PM,2:00PM,secret family swim in small pool or steps during lap swim
Balboa,Tuesday,Afternoon,2:30PM,4:00PM,secret family swim in small pool or steps during lap swim
Hamilton,Tuesday,Morning,11:00AM,12:30PM,secret family swim in small pool or steps during lap swim
Balboa,Wednesday,Morning,9:00AM,10:15AM,secret family swim in small pool or steps during lap swim
Balboa,Wednesday,Afternoon,2:00PM,3:00PM,secret family swim in small pool or steps during lap swim
Balboa,Wednesday,Morning,9:00AM,10:15AM,secret family swim in small pool or steps during lap swim
Balboa,Wednesday,Afternoon,2:00PM,3:00PM,secret family swim in small pool or steps during lap swim
Hamilton,Wednesday,Morning,11:00AM,12:30PM,secret family swim in small pool or steps during lap swim
Hamilton,Wednesday,Morning,6:30AM,8:30AM,secret family swim in small pool or steps during lap swim
Hamilton,Wednesday,Evening,6:30PM,8:00PM,secret family swim in small pool or steps during lap swim
Balboa,Thursday,Morning,7:00AM,8:00AM,secret family swim in small pool or steps during lap swim
Balboa,Thursday,Morning,7:00AM,8:00AM,secret family swim in small pool or steps during lap swim
Balboa,Thursday,Afternoon,2:30PM,5:00PM,secret family swim in small pool or steps during lap swim
Balboa,Friday,Afternoon,1:30PM,3:00PM,secret family swim in small pool or steps during lap swim
Balboa,Friday,Afternoon,1:30PM,3:00PM,secret family swim in small pool or steps during lap swim
Hamilton,Friday,Morning,6:30AM,8:30AM,secret family swim in small pool or steps during lap swim
